,Constituency_No,Party,Vote_Share_2016,Vote_Share_2021,Incumbent_2016,Incumbent_2021,Turncoat_2016,Turncoat_2021,Recontest_2016,Recontest_2021,Winner_2016,Winner_2021
13758,166,IND,0.20954333219451088,0.0731631214830595,False,False,False,False,False,False,False,False
13759,166,IND,0.20954333219451088,0.06939737258319616,False,False,False,False,False,False,False,False
13760,166,IND,0.19303040655961737,0.2560709251907083,False,False,False,False,False,False,False,False
13761,166,IND,0.19303040655961737,0.10221318442486256,False,False,False,False,False,False,False,False
13762,166,IND,0.19303040655961737,0.08338443992554576,False,False,False,False,False,False,False,False
13763,166,IND,0.19303040655961737,0.07477701386871523,False,False,False,False,False,False,False,False
13764,166,IND,0.19303040655961737,0.0731631214830595,False,False,False,False,False,False,False,False
13765,166,IND,0.19303040655961737,0.06939737258319616,False,False,False,False,False,False,False,False
13766,166,IND,0.16171278897619862,0.2560709251907083,False,False,False,False,False,False,False,False
13767,166,IND,0.16171278897619862,0.10221318442486256,False,False,False,False,False,False,False,False
13768,166,IND,0.16171278897619862,0.08338443992554576,False,False,False,False,False,False,False,False
13769,166,IND,0.16171278897619862,0.07477701386871523,False,False,False,False,False,False,False,False
13770,166,IND,0.16171278897619862,0.0731631214830595,False,False,False,False,False,False,False,False
13771,166,IND,0.16171278897619862,0.06939737258319616,False,False,False,False,False,False,False,False
13772,166,IND,0.09281403029267737,0.2560709251907083,False,False,False,False,False,False,False,False
13773,166,IND,0.09281403029267737,0.10221318442486256,False,False,False,False,False,False,False,False
13774,166,IND,0.09281403029267737,0.08338443992554576,False,False,False,False,False,False,False,False
13775,166,IND,0.09281403029267737,0.07477701386871523,False,False,False,False,False,False,False,False
13776,166,IND,0.09281403029267737,0.0731631214830595,False,False,False,False,False,False,False,False
13777,166,IND,0.09281403029267737,0.06939737258319616,False,False,False,False,False,False,False,False
13778,167,DMK,48.707712041045376,45.11331114894762,True,True,False,False,True,True,True,True
13779,167,ADMK,43.39693228582118,25.761661034316795,False,False,True,False,False,False,False,False
13780,167,DMDK,3.1884987440542996,0.0,False,0,False,0,False,0,False,0
13781,167,PMK,1.0598043931377266,0.0,False,0,False,0,False,0,False,0
13782,167,NTK,1.027737694404361,5.401880670085753,False,False,False,False,False,False,False,False
13783,167,NOTA,0.9481053925498371,0.49681983553193365,0,0,0,0,0,0,False,False
13784,167,BJP,0.9320720431831542,0.0,False,0,False,0,True,0,False,0
13785,167,IND,0.20522687189353855,0.9548256214129349,False,False,False,False,False,False,False,False
13786,167,IND,0.20522687189353855,0.19562281024069886,False,False,False,False,False,False,False,False
13787,167,IND,0.20522687189353855,0.06469008275155386,False,False,False,False,False,True,False,False
13788,167,IND,0.20522687189353855,0.0501995042152058,False,False,False,False,False,False,False,False
13789,167,IND,0.17209128320239434,0.9548256214129349,False,False,False,False,False,False,False,False
13790,167,IND,0.17209128320239434,0.19562281024069886,False,False,False,False,False,False,False,False
13791,167,IND,0.17209128320239434,0.06469008275155386,False,False,False,False,False,True,False,False
13792,167,IND,0.17209128320239434,0.0501995042152058,False,False,False,False,False,False,False,False
13793,167,IND,0.10795788573566352,0.9548256214129349,False,False,False,False,False,False,False,False
13794,167,IND,0.10795788573566352,0.19562281024069886,False,False,False,False,False,False,False,False
13795,167,IND,0.10795788573566352,0.06469008275155386,False,False,False,False,False,True,False,False
13796,167,IND,0.10795788573566352,0.0501995042152058,False,False,False,False,False,False,False,False
13797,167,IND,0.07642563198118754,0.9548256214129349,False,False,False,False,False,False,False,False
13798,167,IND,0.07642563198118754,0.19562281024069886,False,False,False,False,False,False,False,False
13799,167,IND,0.07642563198118754,0.06469008275155386,False,False,False,False,False,True,False,False
13800,167,IND,0.07642563198118754,0.0501995042152058,False,False,False,False,False,False,False,False
13801,167,IND,0.04222115333226444,0.9548256214129349,False,False,False,False,False,False,False,False
13802,167,IND,0.04222115333226444,0.19562281024069886,False,False,False,False,False,False,False,False
13803,167,IND,0.04222115333226444,0.06469008275155386,False,False,False,False,False,True,False,False
13804,167,IND,0.04222115333226444,0.0501995042152058,False,False,False,False,False,False,False,False
13805,167,TMMK,0.1352145796590241,0.0,False,0,False,0,False,0,False,0
13806,168,DMK,61.72565359892273,52.28575543713092,True,True,False,False,True,True,True,True
13807,168,ADMK,26.985949846286744,27.7171251620337,False,False,False,False,False,False,False,False
13808,168,CPI,6.686145481338449,0.0,False,0,False,0,False,0,False,0
13809,168,NOTA,1.10622729236007,0.7936050698545298,0,0,0,0,0,0,False,False
13810,168,PMK,0.9080515256993318,0.0,False,0,False,0,False,0,False,0
13811,168,NTK,0.7251200487817272,12.626626338278363,False,False,False,False,False,True,False,False
13812,168,BJP,0.6372113112629894,0.0,False,0,False,0,False,0,False,0
13813,168,BSP,0.30031250793973424,0.34567189975514906,False,False,False,False,False,False,False,False
13814,168,IND,0.24441677888157728,0.2549330260694224,False,False,False,False,False,False,False,False
13815,168,IND,0.24441677888157728,0.11858466561044698,False,False,False,False,False,False,False,False
13816,168,IND,0.24441677888157728,0.09698017187575016,False,False,False,False,False,False,False,False
13817,168,IND,0.24441677888157728,0.07825627730567958,False,False,False,False,False,False,False,False
13818,168,IND,0.24441677888157728,0.04945028565941716,False,False,False,False,False,True,False,False
13819,168,IND,0.1773419040117889,0.2549330260694224,False,False,False,False,False,False,False,False
13820,168,IND,0.1773419040117889,0.11858466561044698,False,False,False,False,False,False,False,False
13821,168,IND,0.1773419040117889,0.09698017187575016,False,False,False,False,False,False,False,False
13822,168,IND,0.1773419040117889,0.07825627730567958,False,False,False,False,False,False,False,False
13823,168,IND,0.1773419040117889,0.04945028565941716,False,False,False,False,False,True,False,False
13824,168,IND,0.10162859828755813,0.2549330260694224,False,False,False,False,False,False,False,False
13825,168,IND,0.10162859828755813,0.11858466561044698,False,False,False,False,False,False,False,False
13826,168,IND,0.10162859828755813,0.09698017187575016,False,False,False,False,False,False,False,False
13827,168,IND,0.10162859828755813,0.07825627730567958,False,False,False,False,False,False,False,False
13828,168,IND,0.10162859828755813,0.04945028565941716,False,False,False,False,False,True,False,False
13829,168,IND,0.10061231230468254,0.2549330260694224,False,False,False,False,False,False,False,False
13830,168,IND,0.10061231230468254,0.11858466561044698,False,False,False,False,False,False,False,False
13831,168,IND,0.10061231230468254,0.09698017187575016,False,False,False,False,False,False,False,False
13832,168,IND,0.10061231230468254,0.07825627730567958,False,False,False,False,False,False,False,False
13833,168,IND,0.10061231230468254,0.04945028565941716,False,False,False,False,False,True,False,False
13834,168,IND,0.075205162732793,0.2549330260694224,False,False,False,False,False,False,False,False
13835,168,IND,0.075205162732793,0.11858466561044698,False,False,False,False,False,False,False,False
13836,168,IND,0.075205162732793,0.09698017187575016,False,False,False,False,False,False,False,False
13837,168,IND,0.075205162732793,0.07825627730567958,False,False,False,False,False,False,False,False
13838,168,IND,0.075205162732793,0.04945028565941716,False,False,False,False,False,True,False,False
13839,168,IND,0.03658629538352092,0.2549330260694224,False,False,False,False,False,False,False,False
13840,168,IND,0.03658629538352092,0.11858466561044698,False,False,False,False,False,False,False,False
13841,168,IND,0.03658629538352092,0.09698017187575016,False,False,False,False,False,False,False,False
13842,168,IND,0.03658629538352092,0.07825627730567958,False,False,False,False,False,False,False,False
13843,168,IND,0.03658629538352092,0.04945028565941716,False,False,False,False,False,True,False,False
13844,168,TMMK,0.14278818059401915,0.0,False,0,False,0,False,0,False,0
13845,168,AUK,0.04674915521227674,0.0,False,0,False,0,False,0,False,0
13846,169,ADMK,49.43229130950165,46.69511228057528,True,True,False,False,True,True,True,True
13847,169,INC,39.01074678918855,0.0,False,0,False,0,False,0,False,0
13848,169,CPM,5.548262586086974,0.0,False,0,False,0,False,0,False,0
